,threshold,accuracy,sensitivity,specificity,ppv,npv
62,0.63,0.6813922356091031,0.580335731414868,0.8090909090909091,0.7934426229508197,0.6040723981900452
63,0.64,0.6800535475234271,0.5707434052757794,0.8181818181818182,0.7986577181208053,0.6013363028953229
64,0.65,0.6693440428380187,0.5467625899280576,0.8242424242424242,0.7972027972027972,0.5900216919739696
65,0.66,0.6639892904953146,0.5323741007194245,0.8303030303030303,0.7985611510791367,0.5842217484008528
66,0.67,0.6559571619812584,0.513189448441247,0.8363636363636363,0.7985074626865671,0.5762004175365344
67,0.68,0.6492637215528781,0.4940047961630695,0.8454545454545455,0.8015564202334631,0.5693877551020409
68,0.6900000000000001,0.6385542168674698,0.46522781774580335,0.8575757575757575,0.8049792531120332,0.5592885375494071
69,0.7000000000000001,0.6358768406961178,0.44844124700239807,0.8727272727272727,0.8165938864628821,0.555984555984556
70,0.7100000000000001,0.6331994645247657,0.434052757793765,0.8848484848484849,0.8264840182648402,0.553030303030303
71,0.72,0.6291834002677377,0.4148681055155875,0.9,0.8398058252427184,0.5489833641404805
72,0.73,0.6224899598393574,0.3980815347721823,0.906060606060606,0.8426395939086294,0.5436363636363636
73,0.74,0.6198125836680054,0.38609112709832133,0.9151515151515152,0.8518518518518519,0.5412186379928315
74,0.75,0.6171352074966533,0.381294964028777,0.9151515151515152,0.8502673796791443,0.5392857142857143
75,0.76,0.5957161981258366,0.34292565947242204,0.9151515151515152,0.8362573099415205,0.5243055555555556
76,0.77,0.5823293172690763,0.31414868105515587,0.9212121212121213,0.8343949044585988,0.5152542372881356
77,0.78,0.5756358768406962,0.29256594724220625,0.9333333333333333,0.8472222222222222,0.5107794361525705
78,0.79,0.5689424364123159,0.27817745803357313,0.9363636363636364,0.8467153284671532,0.5065573770491804
79,0.8,0.5582329317269076,0.2589928057553957,0.9363636363636364,0.8372093023255814,0.5
80,0.81,0.5528781793842035,0.24700239808153476,0.9393939393939394,0.8373983739837398,0.4967948717948718
81,0.8200000000000001,0.5448460508701473,0.22541966426858512,0.9484848484848485,0.8468468468468469,0.4921383647798742
82,0.8300000000000001,0.5394912985274432,0.2038369304556355,0.9636363636363636,0.8762886597938144,0.48923076923076925
83,0.8400000000000001,0.5341365461847389,0.19184652278177458,0.9666666666666667,0.8791208791208791,0.48628048780487804
84,0.85,0.5287817938420348,0.17985611510791366,0.9696969696969697,0.8823529411764706,0.48338368580060426
85,0.86,0.5207496653279786,0.16546762589928057,0.9696969696969697,0.8734177215189873,0.47904191616766467
86,0.87,0.5100401606425703,0.14388489208633093,0.9727272727272728,0.8695652173913043,0.47345132743362833
87,0.88,0.5060240963855421,0.1342925659472422,0.9757575757575757,0.875,0.47144948755490484
88,0.89,0.5020080321285141,0.1223021582733813,0.9818181818181818,0.8947368421052632,0.46956521739130436
89,0.9,0.49531459170013387,0.1079136690647482,0.9848484848484849,0.9,0.46628407460545196
90,0.91,0.4926372155287818,0.10311750599520383,0.9848484848484849,0.8958333333333334,0.46494992846924177
91,0.92,0.4939759036144578,0.09832134292565947,0.9939393939393939,0.9534883720930233,0.4659090909090909
92,0.93,0.48728246318607765,0.08393285371702638,0.996969696969697,0.9722222222222222,0.46272855133614627
93,0.9400000000000001,0.47657295850066933,0.06474820143884892,0.996969696969697,0.9642857142857143,0.4575799721835883
94,0.9500000000000001,0.4685408299866131,0.050359712230215826,0.996969696969697,0.9545454545454546,0.45379310344827584
95,0.9600000000000001,0.464524765729585,0.0407673860911271,1.0,1.0,0.4520547945205479
96,0.97,0.4578313253012048,0.02877697841726619,1.0,1.0,0.4489795918367347
97,0.98,0.4564926372155288,0.026378896882494004,1.0,1.0,0.4483695652173913
98,0.99,0.4497991967871486,0.014388489208633094,1.0,1.0,0.44534412955465585
